Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
P04925	Q60631	PRNP	GRB2			MGI:97769	MGI:95805	11571277:0004:LC|15301538:0077:LC|11571277:0018:LC|11571277:0019:LC|15301538:0016:LC
P05132	P05132	PRKACA	PRKACA			MGI:97592	MGI:97592	25077557:0114:LC|20890288:0114:LC|12614615:0114:LC|16253959:0114:LC|22334660:0114:LC|PDB_6MM6:0114:LC|27825928:0114:LC
P05132	P12367	PRKACA	PRKAR2A			MGI:97592	MGI:108025	17932298:0114:LC|24192038:0114:LC
P05132	P31324	PRKACA	PRKAR2B			MGI:97592	MGI:97760	26158466:0114:LC|26158466:0071:LC|26158466:0424:LC|26158466:0107:LC|26278174:0071:LC|26278174:0114:LC|22323819:0071:LC|26278174:0020:LC|22323819:0114:LC
P05132	P61014	PRKACA	PLN			MGI:97592	MGI:97622	32873725:0096:LC|20890288:0114:LC|32873725:0424:LC
P05132	P63248	PRKACA	PKIA			MGI:97592	MGI:104747	PDB_4DG3:0114:LC|15299527:0114:LC|22751671:0114:LC|22617327:0114:LC|23458248:0114:LC|26833386:0065:LC|8443157:0114:LC|15299526:0114:LC|20971641:0114:LC|19122195:0114:LC|22138346:0114:LC|19610074:0114:LC|1862342:0114:LC|26833386:0077:LC
P05132	Q9DBC7	PRKACA	PRKAR1A			MGI:97592	MGI:104878	16924114:0018:LC|15692043:0114:LC
P05202	P05202	GOT2	GOT2			MGI:95792	MGI:95792	19826765:0114:LC|20977429:0114:LC
P05367	P05367	SAA2	SAA2			MGI:98222	MGI:98222	30846696:0114:LC|33579941:0114:LC
P05480	P05480	SRC	SRC			MGI:98397	MGI:98397	21199370:0424:LC|10684249:0415:LC|17135401:0415:LC
P05480	P17182	SRC	ENO1			MGI:98397	MGI:95393	9013636:0415:LC|14739300:0415:LC
P05480	P22682	SRC	CBL			MGI:98397	MGI:88279	9013636:0004:LC|9013636:0415:LC|8849724:0004:LC|8849724:0415:LC
P05480	Q60749	SRC	KHDRBS1			MGI:98397	MGI:893579	10844001:0415:LC|15890643:0415:LC
P05532	P20826	KIT	KITLG			MGI:96677	MGI:96974	17255936:0114:LC
P05532	P26450	KIT	PIK3R1			MGI:96677	MGI:97583	10679268:0018:LC|10022833:0018:LC
P05532	Q60631	KIT	GRB2			MGI:96677	MGI:95805	10679268:0018:LC|10022833:0018:LC
P05622	P35235	PDGFRB	PTPN11			MGI:97531	MGI:99511	8183548:0405:LC|8183548:0004:LC|7521735:0114:LC
P05627	P42227	JUN	STAT3			MGI:96646	MGI:103038	20211142:0018:HT|7568080:0018:LC
P05627	P54841	JUN	MAFB			MGI:96646	MGI:104555	20211142:0018:HT
P05627	Q06507	JUN	ATF4			MGI:96646	MGI:88096	20211142:0018:HT|1631061:0018:LC
P05627	Q60765	JUN	ATF3			MGI:96646	MGI:109384	20211142:0096:HT
P05627	Q91Y86	JUN	MAPK8			MGI:96646	MGI:1346861	10581243:0423:LC|9687507:0415:LC|21538482:0415:LC|10748240:0415:LC|17255944:0424:LC|12223491:0415:LC|15767678:0415:LC|17276034:0415:LC|15218018:0415:LC|15288121:0415:LC
P05977	P97457	MYL1	MYLPF			MGI:97269	MGI:97273	33765442:0114:LC
P05977	Q5SX39	MYL1	MYH4			MGI:97269	MGI:1339713	33765442:0114:LC
P06240	P06332	LCK	CD4			MGI:96756	MGI:88335	7486703:0018:LC|7664803:0018:LC
P06344	P14434	P06344	H2-AA				MGI:95895	18155234:0114:LC|12150894:0114:LC|17694060:0114:LC|15664161:0114:LC
P06344	Q5R1B3	P06344	TRAV14-3					15664161:0114:LC
P06344	Q5R1F5	P06344	TRAV6D-7					17694060:0114:LC
P06537	P09632	NR3C1	HOXB8			MGI:95824	MGI:96189	20211142:0018:HT|20211142:0397:HT
P06537	P22605	NR3C1	RARB			MGI:95824	MGI:97857	20211142:0018:HT|20211142:0397:HT
P06537	P25425	NR3C1	POU2F1			MGI:95824	MGI:101898	20211142:0018:HT
P06537	Q61026	NR3C1	NCOA2			MGI:95824	MGI:1276533	8643509:0018:LC|20850457:0114:LC|8643509:0004:LC
P06537	Q8CGW9	NR3C1	DMRTC2			MGI:95824	MGI:1918491	20211142:0018:HT|20211142:0397:HT
P06683	P06683	C9	C9			MGI:1098282	MGI:1098282	30111885:0114:LC
P06684	P06684	C5	C5			MGI:96031	MGI:96031	24914981:0114:LC|25901944:0114:LC
P06745	P06745	GPI	GPI			MGI:95797	MGI:95797	16375918:0114:LC|15342241:0114:LC
P06798	Q07279	HOXA4	NFE2			MGI:96176	MGI:97308	20211142:0018:HT|20211142:0397:HT
P06802	P06802	ENPP1	ENPP1			MGI:97370	MGI:97370	23027977:0114:LC|23041369:0007:LC|23041369:0114:LC|32726585:0114:LC
P06804	P06804	TNF	TNF			MGI:104798	MGI:104798	33495441:0114:LC|10089307:0114:LC|15299938:0114:LC
P06869	P06869	PLAU	PLAU			MGI:97611	MGI:97611	30707839:0114:LC|28611361:0114:LC
P06869	P35456	PLAU	PLAUR			MGI:97611	MGI:97612	20133942:0114:LC
P06876	P45481	MYB	CREBBP			MGI:97249	MGI:1098280	30232260:0114:LC|15019774:0114:LC|16253272:0114:LC
P06876	Q9Z2U2	MYB	ZFP292			MGI:97249	MGI:1353423	20211142:0018:HT|20211142:0397:HT
P07141	P07141	CSF1	CSF1			MGI:1339753	MGI:1339753	19017797:0114:LC|22902366:0067:LC|22902366:0114:LC
P07141	P09581	CSF1	CSF1R			MGI:1339753	MGI:1339758	19017797:0065:LC|19017797:0071:LC|19017797:0114:LC|22153499:0065:LC
P07309	P07309	TTR	TTR			MGI:98865	MGI:98865	18006495:0114:LC
P07356	P07356	ANXA2	ANXA2			MGI:88246	MGI:88246	23415230:0114:LC
P07607	P07607	TYMS	TYMS			MGI:98878	MGI:98878	PDB_4E5O:0114:LC|PDB_6Y08:0114:LC|PDB_4EIN:0114:LC|24995339:0114:LC|PDB_6GKO:0114:LC|PDB_6F6Z:0114:LC|PDB_5FCT:0114:LC|PDB_6GYJ:0114:LC
P08046	P08046	EGR1	EGR1			MGI:95295	MGI:95295	12818197:0114:LC|20211142:0018:HT|11427887:0114:LC|9501172:0114:LC
P08046	Q61127	EGR1	NAB2			MGI:95295	MGI:107563	20211142:0018:HT|20211142:0397:HT
P08074	P08074	CBR2	CBR2			MGI:107200	MGI:107200	8805511:0114:LC|8749301:0114:LC
P08103	P08103	HCK	HCK			MGI:96052	MGI:96052	19234535:0423:LC|15067085:0423:LC
P08103	P22682	HCK	CBL			MGI:96052	MGI:88279	12032836:0047:LC|12032836:0004:LC|10799548:0004:LC|10799548:0415:LC
P08152	Q61127	EGR2	NAB2			MGI:95296	MGI:107563	21836637:0018:LC|16675951:0018:LC
P08228	P08228	SOD1	SOD1			MGI:98351	MGI:98351	23583391:0055:LC|20727846:0114:LC
P08730	Q9DCV7	KRT13	KRT7			MGI:101925	MGI:96704	11591653:0397:HT
P08775	P97480	POLR2A	EYA3			MGI:98086	MGI:109339	20211142:0018:HT
P08882	P08882	GZMC	GZMC			MGI:109256	MGI:109256	19299505:0114:LC
P09021	P41778	HOXA5	PBX1			MGI:96177	MGI:97495	20211142:0018:HT|20211142:0397:HT
P09021	Q60954	HOXA5	MEIS1			MGI:96177	MGI:104717	15617687:0018:LC|20211142:0397:HT
P09022	P41778	HOXA1	PBX1			MGI:96170	MGI:97495	20211142:0018:HT|22745600:0809:LC|20211142:0397:HT
P09022	P47242	HOXA1	PAX9			MGI:96170	MGI:97493	20211142:0018:HT|20211142:0397:HT
P09022	Q924Z4	HOXA1	CERS2			MGI:96170	MGI:1924143	20211142:0018:HT|20211142:0397:HT
P09023	P41778	HOXB6	PBX1			MGI:96187	MGI:97495	20211142:0018:HT|22745600:0809:LC|20211142:0397:HT
P09027	P32443	HOXD3	MEOX2			MGI:96207	MGI:103219	20211142:0018:HT|20211142:0397:HT
P09027	Q91W50	HOXD3	CSDE1			MGI:96207	MGI:92356	20211142:0018:HT|20211142:0397:HT
P09027	Q924Z4	HOXD3	CERS2			MGI:96207	MGI:1924143	20211142:0018:HT|20211142:0397:HT
P09027	Q9WVB3	HOXD3	TLE6			MGI:96207	MGI:2149593	20211142:0018:HT|20211142:0397:HT
P09041	P09041	PGK2	PGK2			MGI:97563	MGI:97563	18004764:0114:LC
P09084	P32442	PAX1	MEOX1			MGI:97485	MGI:103220	20211142:0018:HT|11423130:0004:LC|11423130:0018:LC
P09084	P32443	PAX1	MEOX2			MGI:97485	MGI:103219	20211142:0018:HT|11423130:0004:LC|11423130:0018:LC
P09092	P25425	HOXA6	POU2F1			MGI:96178	MGI:101898	20211142:0018:HT|20211142:0397:HT
P09092	P41778	HOXA6	PBX1			MGI:96178	MGI:97495	20211142:0018:HT|20211142:0397:HT
P09092	P60898	HOXA6	POLR2I			MGI:96178	MGI:1917170	20211142:0018:HT|20211142:0397:HT
P09092	Q8BG99	HOXA6	PKNOX2			MGI:96178	MGI:2445415	20211142:0018:HT|20211142:0397:HT
P09092	Q9Z2S7	HOXA6	TSC22D3			MGI:96178	MGI:1196284	20211142:0018:HT|20211142:0397:HT
P09450	Q9D275	JUNB	BATF3			MGI:96647	MGI:1925491	20211142:0018:HT|20211142:0397:HT
P09528	P09528	FTH1	FTH1			MGI:95588	MGI:95588	PDB_7KOD:0114:LC|PDB_3WNW:0114:LC|PDB_6S61:0114:LC|32647824:0114:LC|30102720:0114:LC|11591653:0397:HT
P09528	P29391	FTH1	FTL1			MGI:95588	MGI:95589	11591653:0397:HT
P09581	Q8R1R4	CSF1R	IL34			MGI:1339758	MGI:1923777	22579672:0114:LC
P09631	P25425	HOXA9	POU2F1			MGI:96180	MGI:101898	20211142:0018:HT|20211142:0397:HT
P09631	P41778	HOXA9	PBX1			MGI:96180	MGI:97495	22745600:0809:LC|12923056:0114:LC|20211142:0397:HT
P09631	P50220	HOXA9	NKX2-1			MGI:96180	MGI:108067	20211142:0018:HT|20211142:0397:HT
P09631	P60898	HOXA9	POLR2I			MGI:96180	MGI:1917170	20211142:0018:HT|20211142:0397:HT
P09631	P63015	HOXA9	PAX6			MGI:96180	MGI:97490	20211142:0018:HT|20211142:0397:HT
P09631	Q60954	HOXA9	MEIS1			MGI:96180	MGI:104717	15617687:0018:LC|16087734:0018:LC|20211142:0397:HT
P09631	Q6ZPI0	HOXA9	JADE1			MGI:96180	MGI:1925835	20211142:0018:HT|20211142:0397:HT
P09631	Q8R4I4	HOXA9	GTF2A1L			MGI:96180	MGI:1919078	20211142:0018:HT|20211142:0397:HT
P09632	P25425	HOXB8	POU2F1			MGI:96189	MGI:101898	20211142:0018:HT|20211142:0397:HT
P09632	P41778	HOXB8	PBX1			MGI:96189	MGI:97495	20211142:0018:HT|22745600:0809:LC|20211142:0397:HT
P09632	P42232	HOXB8	STAT5B			MGI:96189	MGI:103035	20211142:0018:HT|20211142:0397:HT
P09632	P60898	HOXB8	POLR2I			MGI:96189	MGI:1917170	20211142:0018:HT|20211142:0397:HT
P09632	P70434	HOXB8	IRF7			MGI:96189	MGI:1859212	20211142:0018:HT|20211142:0397:HT
P09632	P97480	HOXB8	EYA3			MGI:96189	MGI:109339	20211142:0018:HT|20211142:0397:HT
P09632	Q60585	HOXB8	ZFP30			MGI:96189	MGI:99178	20211142:0018:HT|20211142:0397:HT
P09632	Q60954	HOXB8	MEIS1			MGI:96189	MGI:104717	15617687:0018:LC|20211142:0397:HT
P09632	Q61179	HOXB8	IRF9			MGI:96189	MGI:107587	20211142:0018:HT|20211142:0397:HT
P09632	Q8BG99	HOXB8	PKNOX2			MGI:96189	MGI:2445415	20211142:0018:HT|20211142:0397:HT
P09632	Q8R4I4	HOXB8	GTF2A1L			MGI:96189	MGI:1919078	20211142:0018:HT|20211142:0397:HT
P09632	Q9WV74	HOXB8	ASB1			MGI:96189	MGI:1929735	20211142:0018:HT|20211142:0397:HT
P09632	Q9Z2S7	HOXB8	TSC22D3			MGI:96189	MGI:1196284	20211142:0018:HT|20211142:0397:HT
P09793	P09793	CTLA4	CTLA4			MGI:88556	MGI:88556	PDB_5E5M:0114:LC|11052947:0114:LC
P09803	P09803	CDH1	CDH1			MGI:88354	MGI:88354	10202138:0114:LC|14526082:0114:LC|20190754:0071:LC|8598933:0114:LC|21572446:0028:LC|21300292:0114:LC|20190754:0114:LC|20190755:0028:LC|20190754:0107:LC|21300292:0028:LC|21572446:0114:LC|20190754:0028:LC
P09803	Q02248	CDH1	CTNNB1			MGI:88354	MGI:88276	11348595:0114:LC|9298899:0114:LC|16293619:0065:LC|16293619:0107:LC|12874278:0018:LC
P09838	P09838	DNTT	DNTT			MGI:98659	MGI:98659	27499438:0114:LC
P0C192	P0C192	LRRC4B	LRRC4B			MGI:3027390	MGI:3027390	21946559:0114:LC
P0C872	P0C872	JMJD7	JMJD7			MGI:3845785	MGI:3845785	PDB_4QU2:0114:LC
P0CB42	P0CB42	ALKBH1	ALKBH1			MGI:2384034	MGI:2384034	32051560:0114:LC
P0CG50	P0CG50	UBC	UBC			MGI:98889	MGI:98889	19927120:0114:LC|31836717:0114:LC|18758443:0114:LC|25799058:0114:LC|25686088:0114:LC|19536136:0114:LC|24787148:0114:LC
P0CG50	Q571K4	UBC	TAB3			MGI:98889	MGI:1913974	19927120:0114:LC|19927120:0096:LC
P0CG50	Q5U5Q9	UBC	UIMC1			MGI:98889	MGI:103185	19536136:0114:LC|19536136:0096:LC
P0CG50	Q64337	UBC	SQSTM1			MGI:98889	MGI:107931	18083104:0040:LC|21715324:0114:LC|21715324:0096:LC
P0CG50	Q6R3M4	UBC	POLI			MGI:98889	MGI:1347081	20929865:0096:LC|20944239:0114:LC|20929865:0114:LC
P0CG50	Q99K90	UBC	TAB2			MGI:98889	MGI:1915902	19927120:0114:LC|19927120:0096:LC
P0CG50	Q9WUU8	UBC	TNIP1			MGI:98889	MGI:1926194	31247202:0114:LC
P0DN34	Q9CQ54	NDUFB1	NDUFC2			MGI:3780865	MGI:1344370	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
P0DN34	Q9CQH3	NDUFB1	NDUFB5			MGI:3780865	MGI:1913296	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
P0DN34	Q9DCJ5	NDUFB1	NDUFA8			MGI:3780865	MGI:1915625	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
P0DN34	Q9DCS9	NDUFB1	NDUFB10			MGI:3780865	MGI:1915592	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
P0DOV2	P0DOV2	IFI204	IFI204			MGI:96429	MGI:96429	33619523:0114:LC
P0DP27	Q99104	CALM2	MYO5A			MGI:103250	MGI:105976	PDB_4ZLK:0114:LC
P0DP28	P0DP28	CALM3	CALM3			MGI:103249	MGI:103249	17151196:0114:LC|23382982:0114:LC|16625208:0114:LC
P0DP28	Q99104	CALM3	MYO5A			MGI:103249	MGI:105976	17151196:0114:LC
P10078	P70255	ZFP28	NFIC			MGI:99175	MGI:109591	20211142:0018:HT|20211142:0397:HT
P10085	P10085	MYOD1	MYOD1			MGI:97275	MGI:97275	20211142:0018:HT|8181063:0114:LC
P10085	P15806	MYOD1	TCF3			MGI:97275	MGI:98510	20211142:0018:HT
P10085	P20067	MYOD1	ID1			MGI:97275	MGI:96396	20211142:0018:HT|20211142:0397:HT|9528857:0018:LC
P10085	P41136	MYOD1	ID2			MGI:97275	MGI:96397	20211142:0018:HT|21209940:0090:LC
P10085	Q8BUN5	MYOD1	SMAD3			MGI:97275	MGI:1201674	20211142:0018:HT
P10166	P28574	MYCL	MAX			MGI:96799	MGI:96921	20211142:0018:HT|20211142:0397:HT
P10284	Q07279	HOXB4	NFE2			MGI:96185	MGI:97308	20211142:0018:HT|20211142:0397:HT
P10287	P10287	CDH3	CDH3			MGI:88356	MGI:88356	25253890:0114:LC
P10404	P10404	P10404	P10404					24131724:0114:LC
P10417	Q07813	BCL2	BAX			MGI:88138	MGI:99702	8631771:0004:LC|7609638:0019:LC|7609638:0018:LC|8631771:0018:LC|16839884:0018:LC
P10493	Q05793	NID1	HSPG2			MGI:97342	MGI:96257	11574465:0114:LC|9431988:0107:LC|11493006:0114:LC
P10518	P10518	ALAD	ALAD			MGI:96853	MGI:96853	PDB_2Z0I:0114:LC|11591653:0018:HT|PDB_2Z1B:0114:LC|11591653:0397:HT
P10628	P41778	HOXD4	PBX1			MGI:96208	MGI:97495	20211142:0018:HT|20211142:0397:HT
P10628	P60898	HOXD4	POLR2I			MGI:96208	MGI:1917170	20211142:0018:HT|20211142:0397:HT
P10648	P10648	GSTA2	GSTA2			MGI:95863	MGI:95863	12549910:0114:LC
P10751	Q8BI67	ZFP11	ZNF473			MGI:99156	MGI:2442697	20211142:0018:HT|20211142:0397:HT
P10761	P10761	ZP3	ZP3			MGI:99215	MGI:99215	19052627:0114:LC
P10810	P10810	CD14	CD14			MGI:88318	MGI:88318	15644310:0114:LC
P10852	P10852	SLC3A2	SLC3A2			MGI:96955	MGI:96955	32463547:0114:LC
P10855	P10855	CCL3	CCL3			MGI:98260	MGI:98260	26671708:0114:LC
P10855	P51675	CCL3	CCR1			MGI:98260	MGI:104618	9139699:0405:LC|7594543:0405:LC|15723811:0405:LC
P10889	P10889	CXCL2	CXCL2			MGI:1340094	MGI:1340094	9622482:0114:LC|22686371:0114:LC
P10889	P35343	CXCL2	CXCR2			MGI:1340094	MGI:105303	15723811:0405:LC|7636264:0405:LC
P11103	P27790	PARP1	CENPB			MGI:1340806	MGI:88376	20211142:0018:HT
P11103	P70677	PARP1	CASP3			MGI:1340806	MGI:107739	18041763:0415:LC|19759058:0435:LC
P11416	Q60974	RARA	NCOR1			MGI:97856	MGI:1349717	7566114:0018:LC|9774688:0018:LC
P11416	Q8CBD1	RARA	NRIP1			MGI:97856	MGI:1315213	20211142:0018:HT|9774688:0018:LC
P11440	P15864	CDK1	H1-2			MGI:88351	MGI:1931526	11641775:0415:LC|11380680:0415:LC
P11440	P43275	CDK1	H1-1			MGI:88351	MGI:1931523	8226784:0415:LC|9247342:0415:LC|7604037:0415:LC
P11499	Q9D1P4	HSP90AB1	CHORDC1			MGI:96247	MGI:1914167	15642353:0007:LC|15642353:0018:LC|16083881:0004:LC|15642353:0096:LC|16083881:0018:LC
P11609	P11609	CD1D1	CD1D1			MGI:107674	MGI:107674	9219685:0114:LC|18295796:0114:LC|21666690:0114:LC|PDB_4Y4H:0114:LC|PDB_4Y2D:0114:LC|PDB_4Y4F:0114:LC|16007091:0114:LC|22195564:0114:LC|22820602:0114:LC|29576533:0114:LC|21389252:0114:LC
P11610	P11610	CD1D2	CD1D2			MGI:107675	MGI:107675	29351991:0114:LC
P11798	P11798	CAMK2A	CAMK2A			MGI:88256	MGI:88256	12769848:0114:LC
P11798	P28652	CAMK2A	CAMK2B			MGI:88256	MGI:88257	17913888:0071:LC|15102471:0018:LC
P11859	P11859	AGT	AGT			MGI:87963	MGI:87963	20927107:0114:LC
P11881	P11881	ITPR1	ITPR1			MGI:96623	MGI:96623	28416699:0114:LC
P12023	P97318	APP	DAB1			MGI:88059	MGI:108554	12826668:0114:LC|11517249:0018:LC
P12023	Q9DBR4	APP	APBB2			MGI:88059	MGI:108405	18650440:0114:LC|11517249:0018:LC
P12023	Q9EPU5	APP	TNFRSF21			MGI:88059	MGI:2151075	25838500:0114:LC
P12367	P12367	PRKAR2A	PRKAR2A			MGI:108025	MGI:108025	24192038:0114:LC|11985580:0077:LC|10074940:0114:LC|11985580:0114:LC|17081989:0114:LC|9295304:0114:LC
P12815	P12815	PDCD6	PDCD6			MGI:109283	MGI:109283	10200558:0018:LC|10200558:0019:LC|10744743:0018:LC
P12815	P70389	PDCD6	IGFALS			MGI:109283	MGI:107973	11591653:0018:HT|11591653:0397:HT
P12815	Q921R8	PDCD6	SLC41A3			MGI:109283	MGI:1918949	11591653:0018:HT|11591653:0397:HT
P12815	Q9CQ85	PDCD6	TIMM22			MGI:109283	MGI:1929742	11591653:0018:HT|11591653:0397:HT
P12815	Q9D0C1	PDCD6	RNF115			MGI:109283	MGI:1915095	11591653:0018:HT|11591653:0397:HT
P12815	Q9WU78	PDCD6	PDCD6IP			MGI:109283	MGI:1333753	10200558:0019:LC|10200558:0018:LC|10744743:0018:LC
P13297	P29037	MSX1	TBP			MGI:97168	MGI:101838	20211142:0018:HT
P13297	P40764	MSX1	DLX2			MGI:97168	MGI:94902	20211142:0018:HT|9111364:0004:LC|9111364:0018:LC
P13405	P30285	RB1	CDK4			MGI:97874	MGI:88357	15158336:0415:LC|11254678:0415:LC|8547220:0415:LC
P13405	P41136	RB1	ID2			MGI:97874	MGI:96397	20211142:0018:HT
P13405	P97377	RB1	CDK2			MGI:97874	MGI:104772	16102793:0415:LC|18356301:0415:LC
P13405	Q00322	RB1	CEBPD			MGI:97874	MGI:103573	20211142:0018:HT
P13405	Q08775	RB1	RUNX2			MGI:97874	MGI:99829	20211142:0018:HT
P13516	P13516	SCD1	SCD1			MGI:98239	MGI:98239	26098370:0114:LC|32470559:0114:LC
P13745	P13745	GSTA1	GSTA1			MGI:1095417	MGI:1095417	11027134:0114:LC|10433688:0114:LC|10508391:0114:LC
P13864	P13864	DNMT1	DNMT1			MGI:94912	MGI:94912	PDB_6W8W:0114:LC|21163962:0114:LC|22323818:0114:LC|PDB_6W8V:0114:LC
P13864	Q04207	DNMT1	RELA			MGI:94912	MGI:103290	20211142:0018:HT|20211142:0397:HT
P13864	Q80W03	DNMT1	TOX3			MGI:94912	MGI:3039593	20211142:0018:HT|20211142:0397:HT
P14211	P14211	CALR	CALR			MGI:88252	MGI:88252	20880849:0114:LC
P14429	P84099	H2-Q7	RPL19			MGI:95936	MGI:98020	11738047:0114:LC
P14434	P14434	H2-AA	H2-AA			MGI:95895	MGI:95895	12084926:0114:LC|26453556:0114:LC|15664161:0114:LC
P14434	P14483	H2-AA	H2-AB1			MGI:95895	MGI:103070	10775108:0114:LC|29255035:0114:LC|30952805:0114:LC|9529148:0114:LC|9529149:0114:LC|10894169:0114:LC|10583947:0114:LC|12084926:0114:LC|22101158:0114:LC|20407212:0114:LC|24813203:0114:LC|18308592:0114:LC|11535811:0114:LC|12589760:0114:LC
P14439	P14439	H2-EA	H2-EA			MGI:95900	MGI:95900	8638119:0114:LC|14690592:0114:LC
P14439	P18469	H2-EA	H2-EB1			MGI:95900	MGI:95901	8638119:0114:LC
P14483	P14483	H2-AB1	H2-AB1			MGI:103070	MGI:103070	12084926:0114:LC|10894169:0114:LC|18308592:0114:LC
P14719	P14719	IL1RL1	IL1RL1			MGI:98427	MGI:98427	28930661:0114:LC
P14719	Q61730	IL1RL1	IL1RAP			MGI:98427	MGI:104975	17675517:0411:LC|28930661:0114:LC
P14719	Q8BVZ5	IL1RL1	IL33			MGI:98427	MGI:1924375	17675517:0411:LC|28930661:0114:LC
P15037	Q924Z4	ETS2	CERS2			MGI:95456	MGI:1924143	20211142:0018:HT|20211142:0397:HT
P15066	Q9D275	JUND	BATF3			MGI:96648	MGI:1925491	20211142:0018:HT|20211142:0397:HT
P15116	P15116	CDH2	CDH2			MGI:88355	MGI:88355	7885471:0114:LC|21572446:0028:LC|21300292:0114:LC|20190754:0114:LC|21300292:0028:LC|25253890:0114:LC
P15209	Q3UA06	NTRK2	TRIP13			MGI:97384	MGI:1916966	11591653:0397:HT
P15247	Q01114	IL9	IL9R			MGI:96563	MGI:96564	7718508:0031:LC|2145361:0031:LC
P15307	Q3U4B1	REL	SSBP4			MGI:97897	MGI:1924150	20211142:0018:HT|20211142:0397:HT
P15379	P26043	CD44	RDX			MGI:88338	MGI:97887	16615918:0107:LC|18753140:0114:LC
P15530	P15530	CD79B	CD79B			MGI:96431	MGI:96431	20696394:0071:LC|20696394:0114:LC
P15535	P29752	B4GALT1	LALBA			MGI:95705	MGI:96742	11485999:0114:LC|12927542:0114:LC
P15702	P26043	SPN	RDX			MGI:98384	MGI:97887	18614175:0114:LC
P15806	P15806	TCF3	TCF3			MGI:98510	MGI:98510	20211142:0018:HT
P15806	P20067	TCF3	ID1			MGI:98510	MGI:96396	23395635:0018:LC|11591653:0018:HT|11591653:0397:HT
P15806	P41136	TCF3	ID2			MGI:98510	MGI:96397	12200424:0018:LC|23395635:0018:LC|11591653:0018:HT|11591653:0397:HT
P15806	P48754	TCF3	BRCA1			MGI:98510	MGI:104537	20211142:0018:HT|20211142:0397:HT
P15806	P58462	TCF3	FOXP1			MGI:98510	MGI:1914004	20211142:0018:HT|20211142:0397:HT
P15806	P63280	TCF3	UBE2I			MGI:98510	MGI:107365	12200424:0018:LC|9409784:0018:LC
P15806	P70271	TCF3	PDLIM4			MGI:98510	MGI:1353470	20211142:0018:HT|20211142:0397:HT
P15806	P70338	TCF3	GFI1			MGI:98510	MGI:103170	20211142:0018:HT|20211142:0397:HT
P15806	P79621	TCF3	CIITA			MGI:98510	MGI:108445	20211142:0018:HT|20211142:0397:HT
P15806	P97358	TCF3	TAF1B			MGI:98510	MGI:109577	20211142:0018:HT|20211142:0397:HT
P15806	P97367	TCF3	MEIS2			MGI:98510	MGI:108564	20211142:0018:HT|20211142:0397:HT
P15806	Q02067	TCF3	ASCL1			MGI:98510	MGI:96919	12200424:0018:LC|8948587:0096:LC|8948587:0018:LC|20211142:0018:HT
P15806	Q60867	TCF3	NEUROD1			MGI:98510	MGI:1339708	23395635:0018:LC|18069799:0114:LC
P15806	Q60899	TCF3	ELAVL2			MGI:98510	MGI:1100887	20211142:0018:HT|20211142:0397:HT
P15806	Q62392	TCF3	PHLDA1			MGI:98510	MGI:1096880	11591653:0397:HT
P15806	Q6PGF3	TCF3	MED16			MGI:98510	MGI:2158394	20211142:0018:HT|20211142:0397:HT
P15806	Q6ZPI0	TCF3	JADE1			MGI:98510	MGI:1925835	20211142:0018:HT|20211142:0397:HT
P15806	Q7TNK1	TCF3	RFX4			MGI:98510	MGI:1918387	20211142:0018:HT|20211142:0397:HT
P15806	Q8BGJ0	TCF3	ZDHHC15			MGI:98510	MGI:1915336	20211142:0018:HT|20211142:0397:HT
P15806	Q8BVL5	TCF3	ZFP277			MGI:98510	MGI:1890393	20211142:0018:HT|20211142:0397:HT
P15806	Q8C0J6	TCF3	SOWAHC			MGI:98510	MGI:3606051	20211142:0018:HT|20211142:0397:HT
P15806	Q8CFD5	TCF3	ERCC8			MGI:98510	MGI:1919241	20211142:0018:HT|20211142:0397:HT
P15806	Q920Q8	TCF3	IVNS1ABP			MGI:98510	MGI:2152389	20211142:0018:HT|20211142:0397:HT
P15806	Q924Z4	TCF3	CERS2			MGI:98510	MGI:1924143	20211142:0018:HT|20211142:0397:HT
P15806	Q99NE9	TCF3	PBX4			MGI:98510	MGI:1931321	20211142:0018:HT|20211142:0397:HT
P15806	Q9CPV7	TCF3	ZDHHC6			MGI:98510	MGI:1914230	20211142:0018:HT|20211142:0397:HT
P15806	Q9EP71	TCF3	RAI14			MGI:98510	MGI:1922896	20211142:0018:HT|20211142:0397:HT
P15806	Q9JI90	TCF3	RNF14			MGI:98510	MGI:1929668	20211142:0018:HT|20211142:0397:HT
P15806	Q9JJR7	TCF3	ASCL3			MGI:98510	MGI:1928820	20211142:0018:HT|11784080:0096:LC|11784080:0018:LC
P15806	Q9QXN3	TCF3	TRIP4			MGI:98510	MGI:1928469	20211142:0018:HT|20211142:0397:HT
P15806	Q9WTU0	TCF3	PHF2			MGI:98510	MGI:1338034	20211142:0018:HT|20211142:0397:HT
P15806	Q9WVB3	TCF3	TLE6			MGI:98510	MGI:2149593	20211142:0018:HT|20211142:0397:HT
P15806	Q9WVP6	TCF3	PAPOLB			MGI:98510	MGI:1932115	20211142:0018:HT|20211142:0397:HT
